gender,car,reality,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,email,occyp_type,family_size,begin_month,ID
0,1,1,12.218495165528731,1,1,1,1,19031,0.0,0,0,1,2,53,1
0,0,0,11.967180737247824,2,2,1,1,15773,5.736572297479192,0,0,2,3,26,2
1,1,0,11.813030057420567,2,1,1,1,13483,7.504942068396171,1,0,3,2,9,3
0,1,0,11.630708500626612,2,1,1,1,12270,5.017279836814924,0,0,4,4,12,4
1,1,1,12.323855681186558,2,1,1,1,16175,7.771488760117616,0,0,5,3,3,5
1,1,1,11.630708500626612,2,1,1,1,12571,6.113682179832232,1,1,5,3,56,6
0,0,0,11.967180737247824,1,1,1,1,21253,0.0,0,0,1,2,10,7
1,1,1,12.506177237980511,1,1,1,1,18948,0.0,0,0,1,3,52,8
0,1,0,12.100712129872347,3,2,1,1,11229,8.152774052744075,1,0,6,2,38,9
0,0,1,11.877568578558138,2,1,1,1,18705,8.584103896698863,0,0,7,2,35,10
0,0,1,11.502875129116727,2,1,1,1,12017,6.988413181999592,1,0,2,4,52,11
0,0,1,11.302204433654575,2,1,1,1,19661,8.021912778985708,1,0,8,2,3,12
0,0,1,11.630708500626612,1,1,1,1,22361,0.0,0,0,1,2,30,13
1,0,0,11.967180737247824,3,3,2,1,9849,5.393627546352362,0,0,1,1,50,14
0,1,0,12.323855681186558,1,1,1,1,20460,0.0,0,0,1,2,20,15
1,1,0,12.323855681186558,2,1,1,1,14776,7.70210434005105,0,0,5,4,51,16
0,0,0,12.100712129872347,2,1,1,2,10774,7.860570785538664,0,0,1,3,41,17
0,0,1,11.967180737247824,2,1,3,1,13716,7.189922170745808,0,0,3,3,31,18
0,0,1,12.100712129872347,2,2,1,1,15201,7.520776415062797,1,0,6,2,11,19
1,1,1,12.768541502448002,1,1,1,1,22329,0.0,0,0,1,2,26,20
0,1,1,12.323855681186558,3,2,3,1,15671,5.4510384535657,0,1,3,2,11,21
1,0,1,11.967180737247824,2,1,1,1,10087,7.277938572945661,0,0,1,4,45,22
0,1,1,11.630708500626612,2,1,1,1,12078,6.513230110912307,1,0,3,2,28,23
0,0,1,11.967180737247824,2,1,1,1,13633,7.4342573821331355,0,0,6,4,45,24
0,0,1,12.173032791451973,3,1,1,1,15447,7.451241684987676,0,0,2,2,15,25
0,0,0,12.66032791780777,3,2,1,1,16188,5.736572297479192,1,1,2,2,31,26
1,0,1,12.323855681186558,4,2,1,1,12839,8.430545384690566,0,0,1,4,29,27
1,1,1,12.419165860990882,3,1,1,1,17887,6.342121418721152,1,0,5,2,29,28
0,1,1,12.100712129872347,1,1,3,1,21485,0.0,0,0,1,1,8,29
0,0,0,12.218495165528731,2,1,1,1,19032,6.063785208687608,0,0,3,2,55,30
0,1,1,12.854483932248728,3,2,1,1,20054,8.768418726857403,0,0,8,2,19,31
0,0,0,10.809727948556782,1,1,4,1,23871,0.0,0,0,1,1,45,32
0,0,1,12.100712129872347,3,2,1,1,15051,6.421622267806518,1,0,3,2,8,33
0,1,1,11.967180737247824,3,1,4,1,19487,8.08825472712243,0,0,3,1,16,34
0,0,1,13.353475098367715,2,2,3,1,22001,7.3395376954076745,1,0,9,1,58,35
0,0,0,11.813030057420567,1,1,1,1,20608,0.0,0,0,1,2,11,36
0,0,0,12.100712129872347,2,1,1,1,18234,7.994969522697877,1,0,6,2,14,37
0,0,1,12.323855681186558,2,1,1,1,13048,6.089044875446846,0,1,10,3,30,38
1,1,0,11.630708500626612,2,1,5,1,10004,7.5822291942764615,0,0,1,2,7,39
1,1,1,12.100712129872347,2,1,5,1,13059,8.479283618343016,0,0,3,4,60,40
0,0,1,11.967180737247824,4,2,1,1,19638,6.023447592961033,0,0,1,2,34,41
0,0,0,13.017002861746503,3,2,2,1,10139,4.919980925828125,0,0,6,1,8,42
0,1,1,12.877740794412995,2,1,1,1,16995,8.890823576004383,0,0,6,2,47,43
0,1,1,12.323855681186558,2,2,3,1,14816,7.422373700986824,0,0,6,2,6,44
1,1,0,13.017002861746503,3,1,1,1,16479,8.314587291319576,0,0,3,4,55,45
1,1,1,12.944432168911668,2,2,1,1,19038,4.30406509320417,0,0,1,2,36,46
0,1,1,12.66032791780777,3,1,1,1,15653,8.612685172875459,0,1,6,2,43,47
0,0,1,11.630708500626612,1,1,4,1,21041,0.0,0,0,1,1,42,48
0,0,0,11.407564949312402,2,1,1,1,11863,4.574710978503383,1,0,1,4,46,49
0,0,1,12.702292116906802,1,1,5,1,20940,0.0,0,0,1,2,25,50
0,0,1,11.05089000537367,2,1,1,1,19896,7.362010551259734,1,0,11,2,4,51
0,1,1,11.877568578558138,3,1,1,1,12116,7.906547232368036,1,0,5,2,1,52
0,0,1,12.419165860990882,1,1,2,1,23280,0.0,0,0,1,1,15,53
0,0,1,12.100712129872347,2,1,2,1,23007,9.357897936333798,1,0,12,1,3,54
0,0,1,12.419165860990882,3,2,1,1,13556,8.365672383774996,0,0,8,3,52,55
0,0,1,12.173032791451973,3,1,1,1,17909,4.804021044733257,0,0,3,2,9,56
0,0,1,11.877568578558138,1,1,1,1,22491,0.0,0,0,1,2,21,57
1,1,1,11.813030057420567,2,1,1,1,14948,8.999742789830492,0,0,3,2,56,58
0,1,1,12.093183863451555,1,2,4,1,17291,0.0,0,0,1,1,50,59
0,1,0,11.302204433654575,3,1,5,2,14157,7.762170607138205,0,0,3,2,14,60
1,0,0,11.967180737247824,2,1,1,1,16424,7.285506548522785,0,0,5,3,45,61
0,0,1,11.407564949312402,3,1,1,1,18656,7.884952945759814,0,0,3,2,40,62
1,1,1,12.100712129872347,2,2,1,2,11089,7.291656209174461,0,0,3,2,33,63
0,0,0,11.70766954176274,3,1,1,1,18828,8.73165920153676,0,0,1,2,54,64
1,1,1,12.323855681186558,2,1,1,1,17398,6.129050210060545,0,0,5,3,27,65
1,1,0,12.323855681186558,2,1,1,1,14136,7.874358824729881,1,0,8,4,3,66
0,0,1,12.100712129872347,1,1,2,1,23594,0.0,0,0,1,1,25,67
1,0,0,12.323855681186558,3,2,1,3,18976,6.535241271013659,0,0,13,3,42,68
0,0,1,11.456355113481834,1,1,1,1,24285,0.0,0,0,1,2,18,69
0,0,1,11.744037185933616,2,1,1,1,23844,7.672292455628756,0,0,9,2,19,70
0,0,1,11.967180737247824,2,2,1,1,17366,7.794411205726601,0,0,8,2,41,71
0,0,1,10.809727948556782,1,1,2,3,23825,0.0,0,0,1,1,7,72
1,1,0,13.017002861746503,2,1,1,1,14970,8.879611609982035,0,1,5,4,2,73
0,0,1,12.323855681186558,3,2,1,1,11591,7.824845691026856,0,0,1,2,1,74
1,0,0,12.218495165528731,2,1,5,1,22800,4.634728988229636,0,0,5,2,49,75
0,0,1,12.419165860990882,3,2,2,1,21537,9.527775402577312,0,0,6,1,40,76
0,1,1,12.506177237980511,1,1,1,1,23768,0.0,0,0,1,2,19,77
1,0,1,11.744037185933616,1,1,1,4,16491,0.0,0,0,1,2,24,78
1,0,1,12.100712129872347,2,1,3,1,17965,5.389071729816501,0,0,3,1,17,79
1,1,1,12.218495165528731,2,1,1,1,13300,8.207674424355282,0,0,1,5,54,80
0,1,1,12.911642346088676,3,3,1,1,18517,8.280204233279974,0,0,1,2,0,81
0,0,1,11.119882876860622,2,1,1,1,11032,5.752572638825633,1,0,9,3,4,82
0,1,1,12.100712129872347,3,1,1,1,9980,4.859812404361672,0,0,2,3,34,83
0,1,0,13.240146413060712,2,2,1,1,14654,7.950502434808851,1,0,8,2,22,84
